source-address 	lat	lng	 RSSI 
2;	43,5706;	1,4661;	-102
2;	43,5706;	1,4661;	-113
2;	43,5706;	1,4659;	-112
2;	43,5706;	1,4659;	-114
2;	43,5706;	1,4659;	-112
2;	43,5706;	1,4662;	-113
2;	43,5707;	1,4663;	-113
2;	43,5706;	1,4658;	-112
2;	43,5706;	1,4658;	-112
2;	43,5706;	1,4658;	-113
2;	43,5706;	1,4663;	-112
2;	43,5705;	1,466;  -113
2;	43,5705;	1,466;	-113
2;	43,5705;	1,4659;	-112
2;	43,5705;	1,4659;	-112
2;	43,5707;	1,4657;	-112
2;	43,5707;	1,4657;	-112
2;	43,5707;	1,4664;	-113
2;	43,5707;	1,4664;	-110
2;	43,5708;	1,4664;	-112
2;	43,5708;	1,4664;	-113
2;	43,5708;	1,4664;	-115
2;	43,5706;	1,4664;	-112
2;	43,5705;	1,4658;	-112
2;	43,5705;	1,4663;	-110
2;	43,5705;	1,4663;	-113
2;	43,5705;	1,4663;	-107
2;	43,5705;	1,4663;	-112
2;	43,5705;	1,4663;	-110
2;	43,5705;	1,4663;	-110
2;	43,5705;	1,4663;	-110
2;	43,5705;	1,4663;	-106
2;	43,5705;	1,4663;	-107
2;	43,5705;	1,4663;	-110
2;	43,5705;	1,4663;	-109
2;	43,5705;	1,4663;	-111
2;	43,5705;	1,4663;	-110
2;	43,5705;	1,4663;	-106
2;	43,5705;	1,4663;	-114
2;	43,5704;	1,466;	-113
2;	43,5704;	1,4661;	-113
2;	43,5707;	1,4665;	-112
2;	43,5707;	1,4665;	-113
2;	43,5707;	1,4665;	-112
2;	43,5707;	1,4665;	-112
2;	43,5707;	1,4665;	-113
2;	43,5707;	1,4665;	-114
2;	43,5705;	1,4664;	-109
2;	43,5708;	1,4665;	-81
2;	43,5708;	1,4665;	-111
2;	43,5708;	1,4665;	-111
2;	43,5708;	1,4665;	-111
2;	43,5706;	1,4665;	-110
2;	43,5704;	1,4658;	-112
2;	43,5704;	1,4658;	-113
2;	43,5703;	1,466;	-111
2;	43,5703;	1,4661;	-112
2;	43,5703;	1,4658;	-112
2;	43,5703;	1,4658;	-114
2;	43,5705;	1,4666;	-114
2;	43,5711;	1,4657;	-84
2;	43,5707;	1,4667;	-110
2;	43,5706;	1,4667;	-77
2;	43,571;     1,4655;-112
2;	43,5712;	1,4659;	-114
2;	43,5711;	1,4656;	-100
2;	43,5712;	1,4658;	-113
2;	43,5702;	1,4659;	-112
2;	43,5707;	1,4668;	-109
2;	43,5702;	1,4663;	-113
2;	43,5708;	1,4668;	-110
2;	43,571;     1,4654; -113
2;	43,5702;	1,4657;	-113
2;	43,5713;	1,4661;	-112
2;	43,5713;	1,4662;	-113
2;	43,5702;	1,4656;	-113
2;	43,5708;	1,4669;	-112
2;	43,5713;	1,4664;	-114
2;	43,5713;	1,4664;	-113
2;	43,5701;	1,4663;	-112
2;	43,5709;	1,4669;	-113
2;	43,5701;	1,4664;	-111
2;	43,5711;	1,4653;	-112
2;	43,5711;	1,4668;	-111
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-113
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-109
2;	43,571	;1,4669	;-113
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-111
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-111
2;	43,571	;1,4669	;-113
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-113
2;	43,571	;1,4669	;-114
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-77
2;	43,571	;1,4669	;-112
2;	43,571	;1,4669	;-115
2;	43,571	;1,4669	;-112
